"","Team","GameId","Average_Line_ML","Average_Line_Spread","Average_Odds_Spread","Average_Line_OU","Average_Odds_OU","Total","FG","FGA","X3P","X3PA","X2P","X2PA","FT","FTA","ORB","DRB","AST","STL","BLK","TOV","PF","PTS","OFG","OFGA","O3P","O3PA","O2P","O2PA","OFT","OFTA","OORB","ODRB","OAST","OSTL","OBLK","OTOV","OPF","OPTS"
"1","Atlanta",21800556,221.8,6,-108.67,229.83,-106.67,212,41.4,91.8,13,37,28.4,54.8,17.6,23.4,11.6,34.5,25.8,8.2,5.1,17,23.6,113.3,42.8,90.5,12.4,34.4,30.4,56.1,21.5,28.3,10.6,35.4,26.9,9.9,5.5,15,22.2,119.4
"2","Atlanta",21800052,110.75,2.1,-108.8,235,-107.17,215,41.4,91.8,13,37,28.4,54.8,17.6,23.4,11.6,34.5,25.8,8.2,5.1,17,23.6,113.3,42.8,90.5,12.4,34.4,30.4,56.1,21.5,28.3,10.6,35.4,26.9,9.9,5.5,15,22.2,119.4
"3","Atlanta",21801088,262.5,7.42,-109.17,236.08,-106.17,256,41.4,91.8,13,37,28.4,54.8,17.6,23.4,11.6,34.5,25.8,8.2,5.1,17,23.6,113.3,42.8,90.5,12.4,34.4,30.4,56.1,21.5,28.3,10.6,35.4,26.9,9.9,5.5,15,22.2,119.4
"4","Atlanta",21800114,121,2.25,-108.83,232.83,-108.67,261,41.4,91.8,13,37,28.4,54.8,17.6,23.4,11.6,34.5,25.8,8.2,5.1,17,23.6,113.3,42.8,90.5,12.4,34.4,30.4,56.1,21.5,28.3,10.6,35.4,26.9,9.9,5.5,15,22.2,119.4
"5","Atlanta",21800522,380,9.58,-107.67,229.58,-107.83,243,41.4,91.8,13,37,28.4,54.8,17.6,23.4,11.6,34.5,25.8,8.2,5.1,17,23.6,113.3,42.8,90.5,12.4,34.4,30.4,56.1,21.5,28.3,10.6,35.4,26.9,9.9,5.5,15,22.2,119.4
"6","Atlanta",21800436,254.2,7.17,-105.17,225.67,-108.67,271,41.4,91.8,13,37,28.4,54.8,17.6,23.4,11.6,34.5,25.8,8.2,5.1,17,23.6,113.3,42.8,90.5,12.4,34.4,30.4,56.1,21.5,28.3,10.6,35.4,26.9,9.9,5.5,15,22.2,119.4
"7","Atlanta",21800827,115.8,2.08,-104.67,228.7,-105.2,249,41.4,91.8,13,37,28.4,54.8,17.6,23.4,11.6,34.5,25.8,8.2,5.1,17,23.6,113.3,42.8,90.5,12.4,34.4,30.4,56.1,21.5,28.3,10.6,35.4,26.9,9.9,5.5,15,22.2,119.4
"8","Atlanta",21800712,21,1.58,-107,223.83,-107.83,222,41.4,91.8,13,37,28.4,54.8,17.6,23.4,11.6,34.5,25.8,8.2,5.1,17,23.6,113.3,42.8,90.5,12.4,34.4,30.4,56.1,21.5,28.3,10.6,35.4,26.9,9.9,5.5,15,22.2,119.4
"9","Atlanta",21800987,162.8,4.33,-106.5,237.92,-106,226,41.4,91.8,13,37,28.4,54.8,17.6,23.4,11.6,34.5,25.8,8.2,5.1,17,23.6,113.3,42.8,90.5,12.4,34.4,30.4,56.1,21.5,28.3,10.6,35.4,26.9,9.9,5.5,15,22.2,119.4
"10","Atlanta",21801168,162.4,4.33,-107.33,238.92,-108.33,252,41.4,91.8,13,37,28.4,54.8,17.6,23.4,11.6,34.5,25.8,8.2,5.1,17,23.6,113.3,42.8,90.5,12.4,34.4,30.4,56.1,21.5,28.3,10.6,35.4,26.9,9.9,5.5,15,22.2,119.4
